Sample:	'SLABO1-5-5-320
File name:	3P4.FD3
Run Date:	16:07:47, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
430.0	170.0	238.0	350.2	394.2	606.3	530.0	592.3	610.0	568.9	650.4	681.3	664.4	666.0	662.0	648.4	676.5	627.1	603.0	587.6	539.6	495.0	493.1	490.8	486.6	485.7	496.9	501.8	503.5	515.6	487.0	562.1	432.6	407.2	379.1	377.6	420.5	307.9	201.7	151.7	117.6	91.90	73.45	53.27	51.78	212.7	 2995	9999.9	 8355	238.5	13.74	8.617
435.0	127.5	333.1	307.8	346.1	428.7	508.5	568.3	612.0	542.1	635.0	702.2	688.1	656.7	656.8	668.1	640.3	618.6	528.4	540.4	501.5	487.7	475.5	464.3	472.4	474.9	471.8	493.1	474.0	501.9	468.8	566.7	437.5	414.4	388.6	353.0	354.2	372.2	243.9	165.5	138.4	107.9	76.95	61.16	52.73	55.59	217.6	 2565	9999.9	 8086	233.0	13.13
440.0	204.1	316.9	360.6	362.3	471.0	531.3	470.4	549.4	588.7	558.2	669.9	703.1	633.5	664.8	615.2	609.9	558.5	516.7	516.0	515.0	432.4	457.0	476.7	456.4	444.1	464.2	469.1	471.8	478.9	455.0	578.9	434.0	404.4	391.5	367.1	318.7	333.0	319.8	211.9	151.6	121.5	90.71	74.66	58.75	52.30	50.32	189.8	 2450	9999.9	 7550	207.0
445.0	125.5	242.3	303.1	347.8	394.1	460.8	509.3	575.0	552.7	603.4	625.7	656.9	631.8	641.0	611.9	623.6	570.7	525.7	510.2	461.6	437.0	435.1	424.0	419.6	417.8	441.5	430.1	437.1	455.2	451.5	525.2	412.7	421.9	380.5	362.3	323.7	293.1	299.7	269.0	165.7	127.6	104.0	77.98	66.68	56.25	45.97	44.81	183.9	 2725	9999.9	 6219
450.0	180.7	255.7	348.5	266.9	417.1	435.9	433.9	492.3	503.4	598.0	666.6	627.3	689.9	647.1	586.2	597.2	566.5	479.5	454.4	451.6	427.5	399.2	409.6	406.8	398.4	420.0	408.3	427.4	446.6	420.5	505.6	402.5	389.6	365.9	346.4	304.2	276.3	246.9	278.9	216.2	147.6	118.9	90.42	75.13	67.65	52.61	37.42	41.58	192.7	 2378	9999.9
455.0	156.0	154.1	266.0	314.5	323.4	379.3	412.6	434.8	476.9	556.1	613.4	610.0	594.0	582.3	545.6	578.9	518.4	457.6	411.1	414.2	389.5	371.0	387.7	388.3	372.8	371.0	384.6	384.5	405.9	402.7	479.4	378.8	366.1	367.8	343.7	306.2	272.9	242.7	228.0	245.6	179.2	122.2	94.56	79.71	72.69	55.16	48.68	38.01	42.19	171.9	 2330
460.0	106.6	203.6	266.9	239.3	317.4	299.3	414.2	469.2	491.7	561.1	552.3	576.3	614.7	567.0	557.4	541.3	487.5	439.2	397.3	349.5	354.0	327.4	353.3	340.2	339.1	347.4	340.5	362.7	371.8	366.3	422.7	358.9	347.4	351.4	324.9	301.0	267.0	234.3	209.0	212.2	212.4	146.7	102.6	82.46	74.92	62.88	51.47	41.33	35.32	35.41	169.4
465.0	134.4	241.2	248.6	316.3	281.2	376.7	397.2	427.6	425.9	489.5	539.6	563.3	568.8	545.6	501.7	483.0	456.8	401.0	366.3	362.2	330.3	327.9	323.2	308.1	319.5	329.0	333.8	333.5	349.7	347.2	381.5	338.3	321.8	318.9	315.2	279.7	254.0	230.5	199.4	177.8	194.7	181.4	117.5	91.54	78.42	69.71	55.45	45.99	41.52	33.96	35.62
470.0	153.8	231.8	222.1	290.8	265.6	296.9	324.7	405.0	418.2	460.5	467.2	505.0	527.4	496.2	484.3	460.8	435.0	389.1	374.6	332.4	297.4	294.0	270.8	301.3	294.5	288.1	310.5	301.2	318.7	311.1	350.2	311.6	307.3	300.7	281.5	272.9	241.9	216.4	200.7	166.2	153.5	185.1	146.2	99.49	85.06	73.35	57.49	50.94	39.40	33.31	28.40
475.0	89.17	152.2	259.6	270.9	281.0	370.9	321.8	297.6	364.7	356.0	475.7	470.8	477.4	472.1	455.2	462.2	400.2	353.2	340.6	304.7	284.6	263.5	246.0	263.7	250.4	264.9	270.8	281.2	290.9	288.6	336.3	274.5	271.6	281.0	267.3	247.6	222.0	199.6	182.7	154.5	139.7	136.7	158.8	117.5	82.04	73.14	59.25	52.30	48.15	37.20	28.14
480.0	98.16	138.0	192.0	202.3	271.1	268.6	332.9	295.0	355.9	378.0	410.6	453.7	448.9	426.3	407.7	400.2	389.9	351.2	308.2	277.7	255.3	249.2	243.3	252.8	231.6	246.7	247.2	255.0	265.4	278.6	286.6	256.8	265.1	254.7	234.4	226.8	211.0	186.3	176.7	149.7	132.1	126.9	131.5	134.8	100.7	76.35	63.46	55.09	44.75	39.27	30.31
485.0	112.5	146.6	157.0	217.0	243.3	220.4	259.0	286.1	354.8	381.3	387.1	452.3	430.4	395.8	391.4	380.8	368.6	334.3	307.7	268.3	239.7	228.9	221.8	217.4	233.0	220.3	225.2	225.8	230.1	238.7	261.4	234.0	235.6	243.9	229.1	226.0	204.1	177.1	164.0	148.5	134.3	118.6	113.9	126.2	124.4	80.38	68.68	57.82	45.89	42.40	33.54
490.0	85.70	115.0	139.1	139.9	207.3	248.1	236.1	275.5	311.7	341.7	387.2	348.5	384.9	384.9	355.7	378.4	343.6	317.9	288.7	252.0	238.8	206.9	209.6	193.3	212.4	215.8	201.3	212.3	220.7	223.0	227.6	215.7	225.8	236.5	207.6	205.2	187.9	176.9	150.5	144.6	126.9	117.4	100.2	103.8	116.7	97.65	65.67	56.07	52.11	43.31	39.10
495.0	99.36	156.4	145.1	184.7	204.2	234.9	257.8	248.0	283.6	319.2	321.0	329.6	347.2	346.8	356.3	377.6	339.6	290.4	271.1	230.7	215.7	208.3	193.5	199.4	185.1	188.0	188.8	197.3	202.0	209.4	219.5	205.8	198.4	194.6	203.6	189.8	181.4	168.1	158.7	138.8	126.9	112.4	101.2	91.40	97.94	105.8	82.77	59.94	48.52	43.25	40.48
500.0	117.1	65.50	165.4	144.2	167.9	197.7	207.0	223.2	248.8	261.9	305.3	292.4	345.5	319.1	321.7	351.6	314.0	273.9	241.9	219.5	203.7	190.2	183.8	178.2	168.4	169.5	171.8	168.5	185.1	176.1	188.6	183.0	176.7	181.3	182.0	173.3	171.5	148.3	139.2	134.6	116.5	98.10	98.33	86.77	88.94	92.76	97.18	70.80	53.30	43.62	40.98
505.0	142.3	93.35	169.6	123.6	203.3	154.0	172.6	220.8	217.4	265.9	282.3	263.4	279.3	335.6	298.7	277.6	273.6	239.2	218.4	207.2	199.5	161.1	162.2	165.3	162.9	161.2	160.9	157.3	158.1	166.7	169.4	177.8	161.1	163.5	160.8	157.1	150.7	139.6	124.1	116.8	103.6	99.26	92.69	84.41	78.54	73.52	90.22	85.15	57.35	48.79	43.23
510.0	103.3	129.1	116.2	118.6	150.8	156.1	143.1	176.0	196.1	262.5	221.2	264.7	258.1	286.8	252.5	286.2	247.1	212.4	202.7	181.4	182.2	152.8	143.4	140.1	146.2	143.5	142.6	143.7	146.3	145.9	157.4	148.6	149.2	146.0	152.9	142.2	138.7	125.3	113.6	101.7	102.4	90.12	89.02	80.13	74.70	66.01	72.37	78.96	70.72	51.46	40.48
515.0	85.35	93.61	125.6	99.59	114.8	160.1	189.9	181.5	170.1	175.5	209.4	262.0	246.1	245.7	238.3	248.0	243.0	213.8	185.1	183.2	158.4	149.0	136.8	139.7	136.7	133.0	132.5	130.3	131.7	129.4	139.0	125.4	128.1	127.0	131.4	137.5	127.4	112.3	108.9	103.7	90.02	88.16	77.26	77.24	66.73	66.16	61.85	66.62	71.00	58.69	42.14
