Sample:	'SLABO1-5-5-320
File name:	3H7.FD3
Run Date:	17:37:00, 08/24/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
400.0	275.2	268.2	323.9	395.2	394.9	444.4	546.3	555.4	464.4	454.5	423.5	428.7	444.7	437.5	451.5	441.6	446.3	432.7	465.6	453.0	445.7	440.4	425.8	444.1	444.5	440.9	397.1	393.2	367.0	356.3	420.2	426.5	250.4	192.4	146.7	116.3	93.97	117.2	697.0	9999.9	9999.9	9999.9	 1443	65.48	41.54	28.53	23.52	17.25	12.72	9.955	9.042
405.0	250.4	310.8	327.3	415.0	436.9	478.5	442.1	521.8	483.3	455.5	428.4	456.0	449.9	460.8	430.9	450.4	463.4	453.0	423.7	444.6	419.0	419.9	426.3	457.9	430.8	446.7	416.8	395.0	390.1	355.3	346.3	429.1	382.3	244.7	175.8	132.9	106.9	87.64	110.8	693.3	9999.9	9999.9	9999.9	 1378	58.14	38.49	29.80	21.46	13.86	9.512	9.995
410.0	197.0	307.8	447.9	375.8	505.4	470.4	439.0	511.9	514.9	498.5	469.8	449.0	430.1	452.8	459.1	453.9	478.3	463.5	467.6	453.4	428.2	439.8	439.2	449.8	437.1	435.3	436.6	436.7	406.3	380.7	347.3	347.8	436.1	339.6	223.5	163.9	135.9	100.2	80.19	115.6	685.0	 9726	9999.9	9999.9	 1257	52.66	36.99	25.70	18.90	13.05	10.44
415.0	312.3	282.3	384.1	406.4	416.4	459.0	451.8	495.9	488.9	477.4	481.9	482.9	443.0	459.5	461.8	467.7	454.3	468.9	447.6	402.2	420.5	434.6	434.1	451.9	448.1	446.7	442.7	432.1	412.5	392.1	359.4	330.6	369.8	433.3	308.9	190.9	147.5	114.2	91.21	93.95	102.9	665.8	 9376	9999.9	9999.9	 1231	52.14	36.09	23.17	19.33	14.06
420.0	232.1	322.1	365.7	434.3	433.8	475.1	440.8	467.5	450.3	494.1	495.5	481.3	454.7	413.9	444.1	477.2	468.0	461.7	455.6	422.4	403.6	427.9	442.9	426.7	439.6	446.1	437.8	437.0	421.9	396.1	386.8	358.7	337.5	390.4	395.2	237.2	173.8	129.7	106.4	97.34	72.07	96.65	640.2	 9167	9999.9	9999.9	 1113	47.51	29.92	23.14	18.56
425.0	245.2	309.5	311.9	453.9	472.0	424.0	463.6	419.2	474.3	450.1	472.6	434.6	468.0	434.1	491.8	485.2	442.2	472.5	446.6	430.2	396.3	386.9	427.2	428.9	414.4	441.6	426.7	401.5	435.4	402.5	382.0	357.0	340.4	320.9	374.5	328.8	199.2	146.4	113.7	102.6	74.24	60.34	92.18	621.5	 8465	9999.9	9999.9	959.9	45.77	31.11	22.42
430.0	246.2	259.8	333.0	291.5	387.7	418.7	393.7	406.7	455.9	459.5	473.9	463.0	506.7	494.1	492.9	463.2	485.7	438.9	413.8	435.1	396.9	389.6	385.5	393.4	422.5	414.4	425.2	413.4	422.6	402.2	376.3	362.7	338.8	325.5	316.5	360.3	260.1	157.2	127.0	109.0	78.55	68.92	61.97	85.10	573.1	 8138	9999.9	9999.9	879.0	44.95	30.43
435.0	148.8	353.9	316.6	266.8	302.5	420.9	398.8	428.8	447.7	439.6	436.8	424.5	476.9	460.3	453.8	466.9	470.0	446.6	395.4	371.2	385.1	386.1	381.6	390.2	410.8	428.4	415.5	417.6	408.4	407.6	374.6	361.7	343.5	317.2	297.3	307.2	312.4	232.7	144.1	123.4	91.28	75.32	58.55	55.58	78.81	549.8	 7763	9999.9	9999.9	872.0	44.77
440.0	232.3	277.6	308.8	281.6	412.3	414.6	433.5	430.4	439.5	443.5	478.8	511.1	472.6	470.9	455.0	465.3	425.3	416.8	408.1	381.3	377.3	365.2	369.6	369.7	403.5	394.2	408.9	390.9	388.6	389.0	371.6	351.8	344.3	319.0	308.3	274.5	291.6	272.6	177.6	137.1	100.9	80.48	64.24	53.19	46.25	77.13	524.2	 8064	9999.9	9999.9	767.3
445.0	219.7	297.7	304.5	295.8	293.5	308.3	394.9	426.8	399.0	461.3	459.1	413.3	442.9	455.8	451.9	446.8	440.7	418.1	397.3	350.1	355.0	338.0	356.0	372.3	353.9	376.3	390.1	377.1	383.6	378.8	366.9	358.7	343.4	331.4	300.5	268.0	236.5	261.3	244.7	163.1	107.3	89.22	73.24	63.40	52.06	44.80	71.42	544.9	 8180	9999.9	9999.9
