Sample:	'SLABO1-5-5-320
File name:	
Run Date:	16:13:40, 08/15/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
405.0	145.5	228.2	365.5	402.6	377.8	410.4	505.5	421.5	395.2	418.4	420.0	392.9	387.2	370.5	376.0	432.9	394.6	403.2	401.8	395.2	360.5	366.6	381.6	384.9	392.9	388.2	370.0	355.4	323.2	306.9	298.5	372.4	337.2	197.2	128.7	102.6	76.61	60.84	45.75	91.27	872.5	 4851	 3387	207.6	5.366	4.020	3.012	3.106	2.377	1.797	1.815
410.0	263.4	227.1	415.5	399.1	423.2	476.1	429.0	433.6	454.8	439.7	426.4	414.0	411.7	420.8	395.7	414.7	444.3	404.8	368.6	392.8	389.6	385.2	389.4	392.8	382.3	390.9	372.9	364.7	347.7	335.3	288.5	300.2	383.5	289.0	164.5	128.4	96.62	73.03	47.76	38.14	80.60	851.9	 4606	 3134	183.6	5.431	3.966	2.958	2.485	3.387	2.571
415.0	174.9	298.0	348.4	426.0	397.1	425.1	417.2	451.6	491.4	431.4	415.2	355.2	379.8	417.0	434.3	421.5	431.2	397.1	380.6	347.9	383.5	383.6	387.0	376.6	383.2	378.8	381.0	378.8	347.1	336.6	286.4	277.9	318.4	369.9	237.1	142.7	107.8	83.67	59.20	40.86	35.22	74.70	801.0	 4303	 2926	184.3	4.965	3.511	3.215	3.001	1.818
420.0	223.4	292.1	253.1	417.1	380.4	359.5	433.3	437.2	457.2	437.0	446.2	414.3	429.6	445.1	422.0	445.7	442.9	397.7	375.7	356.5	364.0	367.7	366.1	394.4	382.1	386.6	373.8	367.5	349.5	327.5	317.7	291.1	274.4	309.5	339.6	196.3	117.0	99.97	70.53	52.32	39.18	29.00	72.29	764.8	 4081	 2911	149.9	4.067	3.783	3.649	3.410
425.0	237.6	292.7	360.7	374.2	377.5	392.3	417.8	426.9	431.9	405.5	417.2	418.9	441.4	412.1	412.0	437.6	429.4	405.6	374.6	350.4	341.6	362.9	362.8	370.2	391.6	380.6	383.0	365.6	363.0	332.1	316.8	298.7	278.4	261.8	338.6	278.4	156.4	109.1	84.24	59.39	45.92	34.08	27.40	64.09	720.1	 4128	 2532	131.0	4.774	4.294	2.250
430.0	139.1	188.9	394.1	341.6	351.3	437.7	400.9	403.9	424.4	419.5	394.8	392.4	407.4	407.5	442.0	432.1	421.7	401.4	354.9	318.6	312.5	335.3	342.3	344.8	359.7	361.3	358.6	359.0	348.0	338.0	335.0	313.8	279.8	262.1	272.0	302.0	222.3	120.5	91.00	67.19	51.51	39.02	27.33	21.99	62.88	732.1	 3698	 2423	115.7	4.804	3.782
435.0	208.9	225.0	265.5	392.9	319.8	363.4	425.2	446.0	433.8	438.4	422.2	389.1	416.7	400.9	422.9	424.9	426.5	384.7	360.4	322.8	318.8	311.5	334.7	345.0	347.0	351.2	366.2	363.7	350.1	344.7	321.6	309.1	285.4	264.7	241.9	242.8	273.1	179.9	104.9	75.71	62.76	46.21	36.25	28.49	22.70	65.23	663.6	 3655	 2283	114.2	4.305
440.0	120.7	356.1	350.8	244.8	372.8	382.2	423.9	402.3	412.7	365.9	409.9	364.1	377.4	386.8	401.6	450.1	425.2	363.5	328.0	321.9	294.3	307.5	304.0	325.4	316.2	351.0	352.7	336.9	335.7	320.3	317.0	302.4	292.3	264.4	233.7	203.5	223.6	229.2	138.1	85.07	69.76	55.21	39.18	31.01	23.07	21.03	53.58	666.6	 3551	 2187	100.7
445.0	184.5	263.6	285.7	242.3	352.6	396.3	356.6	388.4	363.7	397.6	412.5	394.2	394.8	397.1	425.7	435.9	410.6	370.8	322.3	294.6	291.8	287.9	301.4	314.6	327.5	320.3	342.9	320.7	327.3	296.4	295.5	290.5	276.0	260.4	230.6	205.1	183.6	213.4	183.8	108.2	70.01	56.37	43.24	37.35	27.06	22.75	19.36	54.64	682.8	 3362	 1919
450.0	184.0	220.8	295.0	248.9	261.6	313.0	318.1	351.7	377.8	401.6	383.1	389.4	385.4	404.5	417.0	401.1	395.5	341.6	309.6	277.6	295.7	274.3	273.6	280.0	309.3	310.2	310.7	312.1	301.5	292.9	286.0	277.1	269.8	251.2	234.2	199.3	160.4	160.4	188.1	144.1	74.94	58.78	46.75	39.31	31.48	26.11	23.54	17.22	56.26	629.3	 3394
455.0	194.0	167.3	204.3	352.1	254.0	409.8	361.6	343.0	359.8	343.4	381.3	379.8	356.9	351.5	385.0	389.9	362.3	311.9	293.0	261.7	257.2	254.1	258.7	270.2	271.1	287.4	302.5	292.2	287.0	292.9	273.8	265.6	258.3	243.1	216.6	202.9	173.6	148.4	146.6	177.5	118.2	70.01	54.96	46.34	36.34	30.01	27.04	16.94	16.36	50.60	634.6
460.0	171.8	100.1	267.3	305.8	232.6	280.1	333.8	284.9	362.4	315.5	342.9	343.5	370.7	333.9	357.9	367.1	352.0	320.4	280.9	243.2	233.7	226.2	232.6	248.4	253.4	268.3	265.3	274.8	281.5	266.6	267.9	251.8	247.2	226.4	221.1	188.9	158.0	141.5	109.8	137.1	140.1	86.27	59.59	45.15	38.86	33.46	23.96	19.42	16.34	16.37	52.23
465.0	173.9	168.8	300.2	178.8	254.4	207.0	278.2	262.7	300.9	309.5	321.0	311.7	279.9	319.2	345.2	320.4	340.9	283.4	270.3	216.7	216.9	204.7	211.2	224.2	230.6	222.9	240.3	248.2	251.7	250.1	242.1	231.2	225.4	217.3	210.8	180.0	156.9	137.1	112.7	105.1	126.9	118.7	70.13	48.43	43.16	34.40	27.98	23.67	18.75	14.69	13.14
470.0	85.20	140.2	223.6	156.8	289.3	261.1	256.1	249.2	240.3	253.9	247.5	286.7	292.4	300.3	289.9	292.7	305.6	272.1	243.5	210.4	190.2	212.1	201.1	195.6	203.4	208.1	214.0	223.1	232.9	219.0	229.5	219.6	210.4	203.0	190.5	179.6	152.8	129.1	112.8	95.31	87.29	118.0	95.38	59.00	48.12	35.05	31.16	26.23	21.00	17.37	13.14
475.0	98.67	152.8	195.1	270.4	233.5	239.7	241.2	234.3	255.9	257.8	263.7	263.5	250.7	289.4	305.1	295.3	272.4	226.1	204.9	191.3	187.7	170.2	182.4	176.6	181.0	192.5	198.7	201.0	192.7	195.7	190.5	208.2	193.9	181.5	173.9	153.1	134.6	128.5	112.1	94.48	84.45	83.61	113.5	75.38	47.71	41.64	30.35	29.61	22.66	17.87	13.64
