Sample:	'SLABO1-5-5-320
File name:	2N7.FD3
Run Date:	15:37:11, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/305.0	 1020
2	225.0/545.0	192.6
3	230.0/345.0	 2860
4	240.0/380.0	 2049
5	240.0/395.0	 1961
6	245.0/385.0	 2085
7	245.0/405.0	 1999
8	250.0/390.0	 2038
9	255.0/425.0	 1990
10	270.0/440.0	 2041
11	275.0/400.0	 2188
12	275.0/410.0	 2185
13	275.0/420.0	 2128
14	280.0/310.0	 1885
15	280.0/345.0	 2675
16	280.0/365.0	 2663
17	280.0/430.0	 2041
18	285.0/355.0	 2624
19	310.0/400.0	 1836
20	320.0/410.0	 1901
21	325.0/415.0	 1872
22	330.0/420.0	 1854
23	365.0/295.0	2.855
24	400.0/300.0	3.842
25	410.0/350.0	4.890
26	415.0/310.0	4.060
27	430.0/345.0	6.356
28	435.0/310.0	5.455
29	440.0/355.0	8.012
30	445.0/345.0	8.414
31	445.0/360.0	9.170

Data Points
425.0	385.1	536.3	614.9	800.5	 1011	 1216	 1487	 1498	 1711	 1802	 1828	 1990	 1903	 2007	 1999	 2039	 2002	 1878	 1818	 1658	 1601	 1596	 1649	 1691	 1717	 1775	 1789	 1782	 1744	 1668	 1591	 1520	 1406	 1320	 1275	 1039	792.9	602.8	469.2	366.6	275.2	203.9	150.5	260.2	 2432	9999.9	 7305	560.3	15.24	11.22	8.944
430.0	263.0	592.2	463.3	723.6	 1097	 1156	 1443	 1508	 1557	 1732	 1682	 1903	 1899	 1940	 2005	 2028	 2041	 1911	 1709	 1652	 1598	 1564	 1565	 1618	 1693	 1702	 1714	 1724	 1718	 1639	 1631	 1524	 1454	 1370	 1233	 1125	914.5	697.3	541.5	420.2	325.0	243.3	180.5	134.3	229.2	 2415	9999.9	9999.9	200.9	16.33	12.02
435.0	311.3	471.3	492.3	738.1	 1017	 1113	 1413	 1504	 1543	 1719	 1833	 1843	 1826	 1862	 1997	 2006	 1958	 1809	 1724	 1554	 1540	 1496	 1522	 1597	 1600	 1683	 1709	 1682	 1674	 1667	 1618	 1564	 1496	 1413	 1254	 1131	 1014	805.3	600.1	476.3	366.4	290.7	204.1	155.7	114.1	223.9	 2358	9999.9	 6643	200.3	16.96
440.0	330.4	473.9	507.7	821.4	899.0	 1112	 1170	 1435	 1511	 1592	 1811	 1761	 1883	 1934	 2041	 1922	 1922	 1750	 1634	 1508	 1436	 1452	 1465	 1517	 1550	 1621	 1603	 1626	 1651	 1644	 1584	 1528	 1479	 1390	 1270	 1147	 1041	888.7	691.4	530.8	418.7	319.9	247.9	191.3	143.5	102.5	216.2	 2407	9999.9	 7089	180.8
445.0	217.7	385.8	494.3	713.1	890.9	 1129	 1260	 1307	 1471	 1508	 1656	 1731	 1790	 1803	 1902	 1893	 1818	 1701	 1542	 1468	 1396	 1380	 1380	 1432	 1442	 1526	 1558	 1588	 1617	 1563	 1550	 1518	 1471	 1411	 1312	 1153	 1006	906.8	744.5	578.7	449.2	358.9	284.5	215.7	165.2	125.7	101.4	218.2	 2429	9999.9	 5645
450.0	228.7	399.8	398.0	654.6	755.8	 1059	 1108	 1302	 1399	 1400	 1489	 1718	 1782	 1838	 1813	 1868	 1796	 1663	 1519	 1347	 1280	 1291	 1324	 1363	 1390	 1413	 1445	 1490	 1496	 1506	 1475	 1453	 1429	 1383	 1312	 1168	 1019	847.6	781.7	638.8	488.6	399.3	308.6	244.9	200.8	158.3	119.6	99.29	213.1	 2393	9999.9
455.0	205.5	351.4	535.4	635.8	752.6	987.2	 1045	 1290	 1249	 1346	 1477	 1574	 1682	 1765	 1771	 1706	 1678	 1590	 1438	 1322	 1247	 1228	 1259	 1281	 1279	 1338	 1329	 1389	 1403	 1410	 1389	 1411	 1389	 1339	 1225	 1142	 1001	861.6	756.7	689.6	543.6	424.0	345.3	280.5	218.6	182.7	140.6	100.8	84.91	204.6	 2282
460.0	286.2	368.4	439.9	511.4	805.2	874.8	 1128	 1164	 1166	 1313	 1417	 1501	 1603	 1710	 1614	 1635	 1553	 1465	 1329	 1222	 1145	 1081	 1129	 1163	 1207	 1188	 1251	 1304	 1315	 1329	 1337	 1320	 1297	 1289	 1216	 1103	971.1	865.0	728.9	653.3	583.9	454.0	365.7	294.4	252.7	201.5	159.3	121.0	92.70	77.84	191.5
465.0	202.4	239.9	372.7	459.9	762.5	743.6	901.2	 1039	 1135	 1181	 1365	 1473	 1455	 1551	 1531	 1523	 1502	 1387	 1219	 1125	 1084	 1042	 1052	 1068	 1108	 1111	 1186	 1180	 1193	 1233	 1214	 1212	 1222	 1206	 1175	 1054	936.8	829.1	726.5	619.0	572.5	499.5	391.2	310.8	269.1	223.7	182.1	141.5	106.8	79.78	69.72
470.0	189.9	331.8	452.4	490.7	531.1	841.3	817.7	973.3	 1068	 1097	 1276	 1333	 1315	 1390	 1425	 1419	 1380	 1245	 1135	 1066	993.7	942.9	967.1	971.5	 1019	 1044	 1062	 1058	 1121	 1118	 1122	 1134	 1116	 1140	 1086	991.0	876.3	789.5	697.1	597.7	529.4	500.6	423.0	335.3	272.1	235.7	192.7	157.9	117.9	90.23	67.70
475.0	135.7	320.7	312.1	497.0	544.2	659.4	766.9	896.9	949.2	959.4	 1088	 1170	 1256	 1338	 1367	 1399	 1264	 1167	 1053	942.5	892.5	913.1	891.9	889.4	932.3	938.8	969.8	984.3	 1019	 1009	 1027	 1038	 1036	 1049	995.4	918.4	848.4	759.4	668.4	566.6	505.0	456.4	427.9	353.9	278.0	245.1	198.7	167.4	135.4	106.4	78.29
480.0	144.9	260.3	294.0	447.2	487.3	584.6	739.6	758.3	841.7	972.1	 1016	 1036	 1139	 1199	 1227	 1201	 1175	 1105	 1008	910.3	826.7	806.3	809.2	824.0	833.0	858.7	875.8	876.5	923.6	946.8	939.1	946.9	952.7	964.7	926.3	890.4	796.0	712.6	625.0	545.8	485.7	436.0	397.7	360.7	306.2	238.0	209.2	174.4	139.2	115.1	92.45
485.0	127.0	243.3	256.5	356.5	483.8	567.4	700.6	745.6	822.1	939.4	942.5	 1040	 1152	 1181	 1153	 1195	 1127	 1020	958.5	849.8	768.7	739.9	745.2	748.7	767.1	779.4	810.0	799.4	838.8	878.7	875.7	883.0	889.3	897.9	866.3	814.0	749.2	674.4	603.4	530.6	472.1	428.6	390.0	359.3	325.3	253.1	211.9	183.4	151.5	121.6	101.1
490.0	135.4	180.6	339.0	330.4	527.9	541.7	649.2	685.1	821.0	833.2	894.6	968.0	999.8	 1093	 1121	 1132	 1032	995.1	889.3	747.0	725.6	720.1	701.0	684.7	688.9	734.3	747.0	742.1	794.4	778.7	795.5	827.5	835.8	844.8	808.8	776.3	710.6	642.0	577.6	510.1	457.3	417.7	360.4	343.2	333.3	283.8	223.8	195.1	157.8	133.4	109.6
495.0	137.8	157.2	206.5	241.5	461.2	474.8	618.6	682.8	659.9	739.3	816.2	854.3	964.0	 1001	 1043	 1020	986.1	878.4	825.9	718.4	716.0	657.5	637.2	656.7	658.4	654.9	686.3	703.6	716.1	736.6	738.5	742.0	761.3	774.9	755.0	711.5	667.7	605.9	554.9	490.1	443.6	397.4	356.2	328.9	306.2	291.4	233.4	194.0	162.9	142.7	113.0
500.0	100.5	189.2	267.5	241.6	368.9	496.9	541.3	654.7	612.9	672.1	786.0	844.5	844.9	931.1	948.5	934.5	862.2	830.5	754.2	657.4	644.7	607.6	584.1	578.5	593.1	604.8	641.8	621.3	661.4	652.4	670.1	673.5	698.7	710.5	705.1	652.3	613.6	567.8	519.4	457.3	421.9	379.5	342.3	315.0	281.0	270.5	248.0	197.0	170.0	142.6	121.8
505.0	78.94	170.0	237.1	238.6	312.7	388.7	453.4	565.3	576.4	654.8	631.6	732.6	778.1	817.3	883.4	861.2	834.6	752.6	681.0	623.2	561.3	565.6	537.9	549.2	539.7	538.1	564.5	566.4	588.1	594.2	600.2	614.9	624.7	621.4	623.9	581.0	577.6	511.5	459.6	429.8	392.0	356.3	326.5	294.7	267.9	245.0	248.7	217.6	171.8	144.8	123.0
510.0	108.5	214.1	169.0	267.8	317.4	394.2	486.9	484.6	549.8	546.5	638.2	726.2	729.5	784.8	802.2	740.2	745.1	698.1	623.8	567.8	530.2	491.8	473.4	485.0	479.8	505.9	505.5	517.7	520.2	519.3	554.8	555.9	548.1	575.5	563.8	546.3	515.5	464.7	442.4	405.3	357.8	347.5	315.8	280.5	249.1	230.4	218.2	207.4	176.4	145.3	121.5
515.0	126.3	138.4	174.2	235.9	242.2	362.6	357.8	431.8	478.5	507.3	574.2	638.2	634.0	688.2	678.9	707.3	676.7	619.0	563.7	528.0	466.7	481.6	436.2	431.7	441.8	444.9	457.6	467.1	463.2	474.2	478.3	495.7	500.5	506.6	509.1	487.0	464.3	414.8	401.0	371.4	335.5	312.5	294.4	261.3	236.6	220.2	194.8	193.5	183.8	155.3	121.8
520.0	105.9	134.9	142.9	251.5	201.1	325.0	262.8	358.4	444.5	465.8	542.3	563.3	619.0	631.6	621.6	622.4	617.9	528.5	488.2	445.6	399.7	402.3	412.9	412.0	401.3	386.0	402.8	402.3	417.1	423.5	439.2	441.5	450.1	453.1	446.8	450.5	440.2	393.1	351.1	334.7	304.0	290.8	265.2	241.9	217.5	199.7	190.0	170.0	169.4	161.8	129.0
