Sample:	'SLABO1-5-5-320
File name:	2P9.FD3
Run Date:	16:41:55, 08/17/2022
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	2354-007
ROM Version:	5J14000 06

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	280.0 nm
EM  End WL:	550.0 nm
EM Sampling Interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On
Contour interval:	25.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	205.0/310.0	428.9
2	205.0/525.0	406.9
3	210.0/315.0	504.7
4	210.0/350.0	607.0
5	210.0/365.0	718.9
6	215.0/330.0	598.9
7	220.0/300.0	391.0
8	220.0/535.0	540.6
9	230.0/305.0	400.6
10	270.0/300.0	437.9
11	275.0/305.0	626.5
12	275.0/425.0	 4267
13	280.0/310.0	808.9
14	285.0/315.0	850.3
15	290.0/320.0	835.9
16	295.0/330.0	860.2
17	320.0/420.0	 4049
18	325.0/415.0	 4031
19	330.0/425.0	 4096
20	375.0/295.0	12.23
21	380.0/300.0	12.11
22	400.0/305.0	9.134
23	410.0/315.0	9.528
24	410.0/330.0	12.18
25	430.0/325.0	7.798
26	435.0/330.0	8.349
27	445.0/300.0	5.218
28	445.0/365.0	10.79

Data Points
425.0	750.2	854.7	 1388	 1515	 2121	 2285	 2590	 2906	 3271	 3335	 3494	 3665	 3892	 3952	 4098	 4267	 4086	 3821	 3670	 3573	 3514	 3669	 3755	 3947	 4014	 4040	 4096	 4051	 3894	 3827	 3600	 3372	 3178	 2928	 2701	 2319	 1849	 1451	 1105	839.2	651.9	477.1	388.6	882.7	9999.9	9999.9	9999.9	 1550	91.84	60.09	42.49
430.0	777.7	 1047	 1288	 1519	 2045	 2388	 2558	 2834	 2959	 3417	 3530	 3695	 3823	 4058	 4161	 4206	 4069	 3886	 3723	 3509	 3528	 3637	 3717	 3900	 3930	 3994	 4051	 4026	 3930	 3795	 3633	 3491	 3276	 3068	 2758	 2458	 2062	 1611	 1285	 1008	774.7	583.7	432.6	373.2	871.4	9999.9	9999.9	9999.9	 1409	86.57	61.02
435.0	692.4	983.6	 1416	 1468	 1831	 2441	 2677	 2898	 3076	 3316	 3378	 3617	 3906	 4147	 4131	 4189	 4061	 3800	 3672	 3527	 3526	 3553	 3677	 3787	 3888	 3936	 3971	 4008	 3949	 3848	 3714	 3501	 3380	 3128	 2883	 2517	 2230	 1822	 1400	 1133	892.0	673.0	512.4	404.4	356.9	863.7	9999.9	9999.9	9999.9	 1407	81.01
440.0	661.9	969.0	 1254	 1584	 2003	 2299	 2399	 2903	 3057	 3236	 3526	 3649	 3964	 4034	 4127	 4190	 4025	 3914	 3695	 3482	 3449	 3494	 3577	 3733	 3757	 3842	 3935	 3935	 3920	 3799	 3699	 3535	 3427	 3230	 2955	 2594	 2306	 1975	 1581	 1276	 1009	788.0	619.9	483.3	381.9	333.5	866.9	9999.9	9999.9	9999.9	 1260
445.0	610.0	913.3	 1227	 1462	 1724	 2318	 2436	 2750	 3017	 3174	 3475	 3540	 3736	 3967	 4164	 4184	 4095	 3756	 3555	 3343	 3315	 3361	 3452	 3504	 3720	 3760	 3771	 3828	 3802	 3792	 3659	 3528	 3352	 3256	 2996	 2645	 2329	 2044	 1715	 1359	 1104	903.8	705.4	549.2	449.9	349.3	324.2	841.9	9999.9	9999.9	9999.9
450.0	708.2	832.3	 1153	 1366	 1736	 1931	 2288	 2571	 2779	 2970	 3281	 3333	 3640	 4017	 4099	 4016	 3958	 3805	 3373	 3301	 3157	 3168	 3297	 3384	 3521	 3593	 3685	 3697	 3622	 3628	 3551	 3407	 3332	 3164	 2947	 2659	 2343	 2004	 1792	 1466	 1183	985.4	800.9	640.7	519.0	413.1	323.8	310.8	827.2	9999.9	9999.9
455.0	582.2	760.7	 1006	 1312	 1452	 1920	 2353	 2523	 2783	 2822	 3199	 3258	 3449	 3674	 3903	 3923	 3730	 3554	 3318	 3196	 3000	 3084	 3136	 3189	 3242	 3377	 3455	 3488	 3477	 3422	 3419	 3264	 3205	 3083	 2883	 2654	 2300	 2023	 1748	 1523	 1279	 1037	850.8	702.6	597.4	469.7	384.2	314.9	286.3	818.3	9999.9
460.0	684.2	799.9	900.9	 1119	 1488	 1921	 2221	 2454	 2648	 2808	 3055	 3105	 3320	 3574	 3777	 3740	 3644	 3360	 3132	 2997	 2862	 2893	 2956	 3005	 3092	 3147	 3237	 3279	 3320	 3248	 3197	 3168	 3028	 2941	 2773	 2558	 2285	 1978	 1756	 1511	 1341	 1086	916.6	753.1	633.9	521.3	443.9	355.3	282.4	271.4	808.5
465.0	649.7	764.2	889.5	 1227	 1610	 1791	 2016	 2247	 2477	 2723	 2836	 2881	 3120	 3340	 3635	 3646	 3477	 3182	 3049	 2821	 2725	 2714	 2752	 2854	 2910	 2947	 2975	 3051	 3088	 3048	 3045	 2967	 2860	 2831	 2624	 2489	 2209	 1943	 1714	 1488	 1326	 1164	964.3	811.5	699.9	569.2	476.5	405.1	324.3	262.3	253.4
470.0	520.7	647.5	952.2	 1197	 1349	 1554	 1985	 2019	 2151	 2432	 2711	 2789	 3182	 3233	 3395	 3417	 3298	 3108	 2865	 2629	 2570	 2547	 2598	 2673	 2667	 2707	 2775	 2812	 2834	 2793	 2800	 2747	 2706	 2627	 2549	 2356	 2113	 1875	 1676	 1461	 1280	 1176	 1009	851.6	724.3	622.9	518.5	432.9	362.6	291.0	243.4
475.0	486.5	679.5	790.6	 1050	 1146	 1593	 1692	 1903	 1976	 2276	 2482	 2590	 2812	 3016	 3170	 3147	 3096	 2873	 2653	 2487	 2348	 2338	 2375	 2377	 2422	 2483	 2542	 2584	 2633	 2609	 2556	 2512	 2500	 2468	 2383	 2209	 2003	 1808	 1599	 1434	 1251	 1118	 1009	853.0	723.4	627.7	530.3	464.6	395.6	322.9	262.0
